concurrency,pool,throughput
451,5,165125
481,5,164041
511,5,163185
541,5,165837
571,5,166611
601,5,163345
631,5,165782
661,5,163612
691,5,162707
721,5,166889
751,5,161969
781,5,162972
811,5,163078
841,5,166278
871,5,163345
901,5,163452
931,5,162972
961,5,165727
991,5,166002
1021,5,161969
1051,5,163934
1081,5,161082
1111,5,159540
1141,5,165343
1171,5,161498
1201,5,162654
1231,5,166777
1261,5,163132
1291,5,164907
1321,5,163185
1351,5,160307
1381,5,163291
1411,5,164473
1441,5,160153
1471,5,162390
1501,5,162707
1531,5,163025
1561,5,158780
1591,5,162813
1621,5,161290
1651,5,161969
1681,5,162707
1711,5,165125
1741,5,165453
1771,5,162495
1801,5,164853
1831,5,161917
1861,5,166777
1891,5,161812
1921,5,165180
1951,5,156838
1981,5,166278
2011,5,162601
2041,5,162601
2071,5,164690
2101,5,165782
2131,5,162390
2161,5,164203
2191,5,161969
2221,5,161290
2251,5,162022
2281,5,161759
2311,5,160102
2341,5,160051
2371,5,162179
2401,5,161969
2431,5,157529
2461,5,165892
2491,5,160102
2521,5,161290
2551,5,164473
2581,5,163185
2611,5,165070
2641,5,163559
2671,5,164690
2701,5,169033
2731,5,161812
2761,5,161446
2791,5,161498
2821,5,165016
2851,5,159489
2881,5,163291
2911,5,159337
2941,5,164962
2971,5,162813
3001,5,165125
3031,5,163934
3061,5,161812
3091,5,161812
3121,5,163666
3151,5,165453
3181,5,160565
3211,5,166278
3241,5,165617
3271,5,160926
3301,5,160256
3331,5,162707
3361,5,163719
3391,5,161707
3421,5,164907
3451,5,168123
3481,5,166833
3511,5,163078
3541,5,167954
3571,5,169204
3601,5,161134
3631,5,163025
3661,5,165343
3691,5,165289
3721,5,163078
3751,5,161394
3781,5,160926
3811,5,162022
3841,5,164419
3871,5,161394
3901,5,164041
3931,5,163291
3961,5,163398
3991,5,159489
4021,5,160720
4051,5,163078
4081,5,160410
4111,5,162972
4141,5,163934
4171,5,164419
4201,5,165398
4231,5,163238
4261,5,159693
4291,5,162548
4321,5,163025
4351,5,162390
4381,5,161759
4411,5,164581
4441,5,168520
4471,5,166833
4501,5,163934
4531,5,167392
4561,5,163934
4591,5,160205
4621,5,163612
4651,5,163452
4681,5,160256
4711,5,164636
4741,5,160875
4771,5,158831
4801,5,164203
4831,5,168180
4861,5,162337
4891,5,159286
4921,5,164798
4951,5,162127
4981,5,160720
5011,5,160668
5041,5,156103
5071,5,165508
5101,5,163559
5131,5,163185
5161,5,161446
5191,5,161186
5221,5,163505
5251,5,163666
5281,5,159846
5311,5,164473
5341,5,161812
5371,5,161030
5401,5,163559
5431,5,162179
5461,5,161082
5491,5,160102
5521,5,161707
5551,5,163988
5581,5,163398
5611,5,161134
5641,5,160205
5671,5,164473
5701,5,164095
5731,5,159591
5761,5,159540
5791,5,162601
5821,5,159591
5851,5,162284
5881,5,160720
5911,5,161759
5941,5,162232
5971,5,162337
6001,5,161446
6031,5,162179
6061,5,163398
6091,5,159744
6121,5,161812
6151,5,163612
6181,5,160205
6211,5,163505
6241,5,164962
6271,5,162495
6301,5,159744
6331,5,160720
6361,5,162866
6391,5,160000
6421,5,159033
6451,5,163291
6481,5,165125
6511,5,163934
6541,5,168520
6571,5,163025
6601,5,165398
6631,5,165837
6661,5,160823
6691,5,162972
6721,5,161812
6751,5,160978
6781,5,161759
6811,5,161655
6841,5,164311
6871,5,162127
6901,5,162707
6931,5,163185
6961,5,164203
6991,5,163934
7021,5,161498
7051,5,162022
7081,5,162337
7111,5,159489
7141,5,164473
7171,5,159184
7201,5,161186
7231,5,164149
7261,5,159693
7291,5,157728
7321,5,159897
7351,5,162390
7381,5,162127
7411,5,163398
7441,5,163719
7471,5,157282
7501,5,160513
7531,5,161550
7561,5,162654
7591,5,162495
7621,5,162390
7651,5,162548
7681,5,164853
7711,5,162813
7741,5,159693
7771,5,162443
7801,5,159083
7831,5,159591
7861,5,161394
7891,5,164690
7921,5,159642
7951,5,156543
7981,5,161498
8011,5,162232
8041,5,166500
8071,5,163078
8101,5,166057
8131,5,161969
8161,5,160668
8191,5,163291
8221,5,164636
8251,5,159693
8281,5,159744
8311,5,154035
8341,5,163666
8371,5,162654
8401,5,162601
8431,5,158579
8461,5,158780
8491,5,159948
8521,5,158730
8551,5,162337
8581,5,162548
8611,5,160153
8641,5,160205
8671,5,161134
8701,5,157828
8731,5,160875
8761,5,167616
8791,5,160771
8821,5,164962
8851,5,161446
8881,5,159846
8911,5,158478
8941,5,163025
8971,5,160359
9001,5,160978
9031,5,159897
9061,5,162972
9091,5,162866
9121,5,161550
9151,5,163880
9181,5,159540
9211,5,159033
9241,5,163559
9271,5,162127
9301,5,160153
9331,5,161186
9361,5,162707
9391,5,161446
9421,5,160978
9451,5,164203
9481,5,162495
9511,5,163826
9541,5,163773
9571,5,159235
9601,5,160720
9631,5,159489
9661,5,159083
9691,5,164149
9721,5,159795
9751,5,160616
9781,5,159591
9811,5,161394
9841,5,165070
9871,5,167392
9901,5,161342
9931,5,160616
9961,5,162601
9991,5,159083
10021,5,161707
10051,5,157828
10081,5,161864
10111,5,161082
10141,5,158579
10171,5,161030
10201,5,162972
10231,5,160359
10261,5,161238
10291,5,163505
10321,5,158528
10351,5,162232
10381,5,158528
10411,5,163078
10441,5,161030
10471,5,157381
10501,5,157927
10531,5,161917
10561,5,164095
10591,5,159489
10621,5,160153
10651,5,164095
10681,5,163025
10711,5,160051
10741,5,160513
10771,5,160616
10801,5,156201
10831,5,157878
10861,5,159693
10891,5,163880
10921,5,163291
10951,5,159286
10981,5,161030
11011,5,160256
11041,5,158428
11071,5,159235
11101,5,160565
11131,5,161917
11161,5,158579
11191,5,161134
11221,5,158428
11251,5,158378
11281,5,159897
11311,5,158982
11341,5,163612
11371,5,162390
11401,5,157778
11431,5,158277
11461,5,157778
11491,5,161603
11521,5,161030
11551,5,157084
11581,5,159744
11611,5,161446
11641,5,158428
11671,5,161603
11701,5,161759
11731,5,163826
11761,5,157878
11791,5,159033
11821,5,158730
11851,5,158528
11881,5,160926
11911,5,160513
11941,5,157183
11971,5,158528
12001,5,157629
12031,5,160256
12061,5,156838
12091,5,164419
12121,5,161030
12151,5,160256
12181,5,158982
12211,5,158579
12241,5,159033
12271,5,160462
12301,5,161707
12331,5,163666
12361,5,161394
12391,5,160000
12421,5,158881
12451,5,160410
12481,5,157678
12511,5,159540
12541,5,158127
12571,5,159387
12601,5,161603
12631,5,158027
12661,5,155811
12691,5,154750
12721,5,160823
12751,5,155860
12781,5,158127
12811,5,162284
12841,5,161030
12871,5,162495
12901,5,159897
12931,5,160410
12961,5,160359
12991,5,160771
13021,5,162654
13051,5,162179
13081,5,162813
13111,5,157084
13141,5,159591
13171,5,159897
13201,5,159286
13231,5,157084
13261,5,160823
13291,5,160205
13321,5,159591
13351,5,160462
13381,5,158982
13411,5,156006
13441,5,159184
13471,5,157728
13501,5,158881
13531,5,160978
13561,5,160513
13591,5,159184
13621,5,160307
13651,5,160410
13681,5,156641
13711,5,160410
13741,5,155908
13771,5,162972
13801,5,158328
13831,5,158027
13861,5,160051
13891,5,159795
13921,5,157480
13951,5,158931
13981,5,161812
14011,5,158730
14041,5,159489
14071,5,159489
14101,5,160410
14131,5,158428
14161,5,160051
14191,5,158177
14221,5,160926
14251,5,158177
14281,5,160051
14311,5,161550
14341,5,160720
14371,5,157430
14401,5,162337
14431,5,164853
14461,5,156690
14491,5,159795
14521,5,159235
14551,5,160000
14581,5,158931
14611,5,161812
14641,5,157678
14671,5,158328
14701,5,155183
14731,5,160205
14761,5,155134
14791,5,161134
14821,5,157629
14851,5,160051
14881,5,159897
14911,5,158831
14941,5,163773
14971,5,159438
31,7,182949
61,7,182481
91,7,181884
121,7,184979
151,7,182016
181,7,184365
211,7,185666
241,7,184365
271,7,182548
301,7,185942
331,7,180440
361,7,182415
391,7,183150
421,7,188679
451,7,180635
481,7,181686
511,7,177746
541,7,182748
571,7,184774
601,7,184433
631,7,181093
661,7,180180
691,7,181290
721,7,182016
751,7,182748
781,7,182748
811,7,179468
841,7,181093
871,7,181159
901,7,184569
931,7,181950
961,7,182083
991,7,182615
